DATASET: Sample
NUM_FEATURES: 10
POPULATION_SIZE: 5
ITERATION_NUM: 3
FOLDS: 5
ELITISM: 1.23
F: 0.8
CR: 0.8

Test Accuracy: 0.16799999999999998
Test F1 Score: 0.1239873015873016
Average Features No.: 4.4399999999999995
Total time taken: 0.5315873622894287 seconds

Fold	Test_Acc	Test_F1	Mean_Features_Num	Fold_time(secs)
1	0.19999999999999998	0.16793650793650794	5.4	0.08370041847229004
2	0.08	0.08	4.2	0.08295416831970215
3	0.2	0.14266666666666666	3.8	0.08225417137145996
4	0.24000000000000005	0.13999999999999999	4.6	0.0772848129272461
5	0.12000000000000002	0.08933333333333333	4.2	0.0812535285949707

Fold	Solution	Test_Acc	Test_F1	Features_Num	Observed_Solution
1	1	0.16666666666666666	0.1111111111111111	7	1011110101
1	2	0.0	0.0	5	0100101011
1	3	0.3333333333333333	0.3	7	1101101110
1	4	0.3333333333333333	0.3333333333333333	4	1000010011
1	5	0.16666666666666666	0.09523809523809525	4	0010101100
2	1	0.0	0.0	5	1100101001
2	2	0.0	0.0	5	0111010010
2	3	0.0	0.0	3	1110000000
2	4	0.0	0.0	4	1010001100
2	5	0.4	0.4	4	0011001010
3	1	0.2	0.1	1	0010000000
3	2	0.2	0.16	6	1110010011
3	3	0.2	0.16	6	0110011011
3	4	0.2	0.16	4	1000001011
3	5	0.2	0.13333333333333333	2	0000010001
4	1	0.2	0.06666666666666668	3	1010010000
4	2	0.2	0.1	5	1001101010
4	3	0.2	0.1	6	1100110110
4	4	0.2	0.1	6	1100111010
4	5	0.4	0.3333333333333333	3	0100100010
5	1	0.4	0.36666666666666664	5	0101110010
5	2	0.0	0.0	4	1000101100
5	3	0.0	0.0	6	0011111001
5	4	0.0	0.0	4	0001001110
5	5	0.2	0.08	2	0000101000
